angle,pol_0,pol_45,pol_90,pol_135
0,8.757,8.151,0.6,4.886
1,7.225,3.681,1.276,3.811
2,9.306,2.239,4.438,8.91
3,5.113,4.843,0.185,3.106
4,6.85,7.159,1.671,7.082
5,6.044,8.31,4.32,8.367
6,8.817,9.96,3.062,0.854
7,9.602,0.691,8.923,4.179
8,0.55,1.392,7.288,7.607
9,1.402,7.567,9.279,8.495
10,3.955,9.44,2.795,9.985
11,2.72,8.794,0.812,2.305
12,2.285,1.72,1.155,3.446
13,4.421,7.16,0.73,3.383
14,8.042,9.088,6.503,7.326
15,6.899,6.113,3.298,0.563
16,7.605,0.479,8.319,5.973
17,6.978,7.841,1.101,9.836
18,5.22,7.143,4.78,9.567
19,3.003,8.981,8.587,9.403
20,7.039,0.775,1.463,6.593
21,7.822,4.511,7.382,2.321
22,2.353,8.597,8.385,2.04
23,2.542,6.975,5.956,7.893
24,4.232,2.505,8.105,5.705
25,5.319,9.493,5.637,9.852
26,5.164,3.329,9.187,4.603
27,1.119,8.854,3.969,0.072
28,2.532,8.776,8.518,6.375
29,9.988,5.239,3.491,0.478
30,3.126,0.981,6.797,3.472
31,9.465,5.955,3.66,9.56
32,5.13,7.947,0.497,0.011
33,2.318,9.942,6.347,7.792
34,8.177,4.871,3.056,4.863
35,6.271,4.43,4.867,7.155
36,8.79,5.135,8.297,7.238
37,0.425,9.142,7.566,5.89
38,6.844,4.237,1.177,3.026
39,1.519,1.339,0.057,9.673
40,1.036,3.495,8.225,5.959
41,0.632,9.418,5.656,6.176
42,3.972,9.664,2.466,9.867
43,6.873,3.056,7.684,4.52
44,1.241,0.915,1.251,1.67
45,4.16,2.883,8.15,1.59
46,9.895,5.449,8.525,9.506
47,8.024,9.358,8.91,6.656
48,8.742,7.512,8.657,0.006
49,8.124,3.613,8.861,2.41
50,7.111,1.556,3.749,9.312
51,9.564,0.015,0.739,3.125
52,8.443,6.018,3.499,5.445
53,9.974,7.146,5.668,4.5
54,8.267,0.326,2.406,2.978
55,9.353,5.734,6.102,2.636
56,5.223,5.648,0.414,9.941
57,7.698,2.939,8.332,8.355
58,6.111,7.045,1.308,4.633
59,9.38,4.194,6.357,9.064
60,3.885,9.828,8.655,6.481
61,9.154,1.509,3.619,7.703
62,7.807,7.554,1.33,0.479
63,8.254,1.318,5.208,2.366
64,5.845,3.411,9.903,5.938
65,8.031,4.048,3.083,3.851
66,4.484,7.125,2.237,8.652
67,3.473,3.375,5.676,4.489
68,2.461,6.462,4.011,0.913
69,2.813,8.516,4.02,0.771
70,9.599,4.822,7.212,0.26
71,2.292,4.284,3.148,2.942
72,0.406,9.582,9.396,5.264
73,3.372,6.598,9.842,4.174
74,9.37,7.006,8.366,7.553
75,9.19,3.223,5.98,7.167
76,0.711,5.184,7.211,3.495
77,2.796,4.815,1.886,5.65
78,6.65,0.943,0.239,3.59
79,7.798,6.634,6.214,1.092
80,7.135,4.873,3.035,8.171
81,8.222,9.073,7.277,1.928
82,6.459,8.211,3.084,7.99
83,1.104,5.93,8.129,8.31
84,0.456,4.69,5.126,0.479
85,8.993,2.74,2.384,6.73
86,0.152,6.301,2.038,8.826
87,4.982,5.997,9.908,1.216
88,6.286,5.09,5.49,7.9
89,4.958,5.809,8.174,7.53
90,1.005,3.794,2.034,9.309
91,1.649,9.368,4.339,1.054
92,9.759,9.363,8.303,2.572
