angle,pol_0,pol_45,pol_90,pol_135
0,8.17,0.812,4.031,0.83
1,3.622,1.695,1.343,4.591
2,3.319,0.011,8.103,4.296
3,9.458,0.946,7.771,3.627
4,3.617,5.031,1.897,4.819
5,2.117,0.761,4.934,6.056
6,1.907,4.474,0.083,0.954
7,2.723,9.984,7.066,3.52
8,0.466,4.322,3.427,1.755
9,5.563,9.187,8.318,5.717
10,4.978,4.719,7.484,0.971
11,7.866,8.531,8.965,2.538
12,9.998,5.281,7.862,9.922
13,2.675,5.517,0.431,0.201
14,4.432,4.904,0.986,8.725
15,6.534,0.172,2.828,3.689
16,6.702,8.892,2.661,5.47
17,5.726,0.34,3.579,2.499
18,5.53,0.846,4.86,7.199
19,3.872,0.434,4.367,6.799
20,0.143,9.238,0.924,8.646
21,6.691,3.054,5.555,9.548
22,2.18,1.759,3.502,2.321
23,3.809,7.923,9.78,8.517
24,7.674,1.34,3.406,7.483
25,7.137,9.061,7.679,2.478
26,5.018,8.656,8.389,7.657
27,0.297,6.508,4.232,7.467
28,0.719,4.476,8.236,9.614
29,1.905,2.273,9.394,0.422
30,2.272,5.778,3.886,8.44
31,0.052,2.411,1.933,6.287
32,2.199,8.569,5.287,9.323
33,8.897,7.594,0.919,0.669
34,1.74,9.16,3.755,1.124
35,2.034,0.977,9.028,8.513
36,8.297,2.588,3.025,3.746
37,7.452,8.05,6.813,9.518
38,6.913,9.336,8.465,6.786
39,3.816,1.516,4.757,1.133
40,2.868,4.767,5.847,2.546
41,9.517,9.213,2.517,4.81
42,0.439,0.694,1.321,3.027
43,7.93,2.23,9.479,6.743
44,7.305,4.069,2.024,5.386
45,4.663,2.63,4.544,3.767
46,1.098,2.374,7.784,8.217
47,2.188,1.456,0.479,7.131
48,4.365,2.839,8.433,2.369
49,9.141,4.277,1.215,6.245
50,3.119,6.447,3.781,5.763
51,0.321,0.237,1.177,7.443
52,1.354,4.12,0.365,3.868
53,5.365,9.53,1.719,2.206
54,9.086,4.691,5.131,1.268
55,8.161,0.769,9.014,7.457
56,8.559,0.631,1.133,1.173
57,5.943,2.139,6.606,1.654
58,0.861,6.667,0.087,7.152
59,7.242,4.775,3.362,7.908
60,9.079,5.871,2.817,6.504
61,4.614,4.154,7.699,5.868
62,1.234,3.302,0.642,5.662
63,4.548,1.207,6.473,3.219
64,9.558,5.291,5.296,5.942
65,5.101,6.096,9.349,6.055
66,5.143,8.645,8.239,3.138
67,0.034,1.305,7.344,3.556
68,1.042,9.663,1.271,5.291
69,5.203,8.274,1.905,0.894
70,6.707,8.283,8.991,6.044
71,6.313,3.548,2.433,8.592
72,8.592,9.52,5.436,9.239
73,0.919,7.25,1.397,0.368
74,6.418,4.725,1.711,4.57
75,0.143,6.963,2.214,8.895
76,9.616,4.646,1.545,3.114
77,3.81,8.054,2.38,5.566
78,9.281,0.692,6.619,3.243
79,4.688,6.346,0.969,3.955
80,1.414,3.34,3.194,0.894
81,7.133,2.714,5.787,5.319
82,4.795,0.871,6.716,1.422
83,8.863,8.587,9.186,6.125
84,4.145,6.226,7.226,9.716
85,3.068,2.84,8.778,7.79
86,4.182,7.285,9.9,7.114
87,2.913,1.078,7.361,9.616
88,0.881,6.993,1.22,2.658
89,1.195,5.333,5.561,5.622
90,3.896,3.281,8.053,8.383
91,9.693,3.489,1.589,5.286
92,2.199,8.878,7.342,1.175
93,3.721,3.305,6.701,8.348
94,9.067,1.616,9.051,9.645
95,3.272,1.811,6.532,5.969
96,7.568,0.778,5.351,0.479
97,5.223,3.913,3.047,8.49
98,0.116,4.846,3.698,7.933
99,8.328,0.95,2.798,5.368
100,1.793,4.432,3.492,5.979
101,5.901,8.005,1.028,0.52
102,4.545,1.77,9.969,6.741
103,1.426,9.246,6.414,8.679
104,7.748,5.407,4.905,0.107
105,0.096,0.946,5.423,7.305
106,0.463,7.359,4.337,0.105
107,4.129,4.902,2.042,7.324
108,6.796,5.074,7.167,0.977
109,5.668,7.528,0.409,3.826
110,5.297,4.43,6.968,1.797
111,6.544,8.754,2.632,4.464
112,6.958,3.912,7.221,1.431
113,7.012,7.127,1.824,3.135
114,7.738,8.058,8.951,2.784
115,0.419,4.1,7.059,0.395
116,3.187,7.169,0.945,5.334
117,0.208,6.091,0.924,3.86
118,1.791,8.971,9.129,7.695
119,0.27,4.35,0.689,5.56
120,6.88,5.058,4.584,9.811
121,4.573,2.411,6.328,2.499
122,3.115,6.322,8.211,5.524
123,8.993,7.616,3.005,4.174
124,8.114,7.496,5.661,0.152
125,3.409,0.239,7.088,2.667
126,0.404,6.961,6.494,6.746
127,9.233,3.18,1.931,2.708
128,8.966,8.249,6.054,4.8
129,6.679,3.475,3.462,2.533
130,0.19,3.713,7.949,1.945
131,4.909,4.104,5.872,1.965
132,9.57,2.946,0.956,5.515
133,7.097,3.554,6.868,6.811
134,2.817,0.036,7.204,6.849
135,8.599,2.558,3.4,3.107
136,6.094,7.901,4.398,7.817
137,4.35,1.948,9.892,6.662
138,0.979,4.643,6.615,3.26
139,4.569,4.945,8.855,8.199
140,8.728,4.478,5.167,8.822
141,4.119,7.892,0.538,7.693
142,7.386,5.101,9.426,9.604
143,1.073,5.263,9.297,0.53
144,5.335,8.318,8.85,7.103
145,2.057,0.804,8.871,9.054
146,2.409,2.384,8.343,6.281
147,9.099,0.708,0.805,0.376
148,8.484,1.91,1.714,9.741
149,2.957,1.879,9.507,2.267
150,9.346,4.311,1.988,0.683
151,4.591,6.651,8.5,9.286
152,0.32,8.875,4.582,3.946
153,6.95,9.054,7.101,1.375
154,5.873,2.768,3.964,5.057
155,8.715,0.194,5.724,5.289
156,2.089,4.609,2.718,4.223
157,1.364,4.76,0.805,5.031
158,8.26,6.888,4.748,6.553
159,9.229,1.773,4.89,4.961
160,5.278,0.429,3.161,6.64
161,4.441,5.042,8.558,1.782
162,2.88,9.195,6.123,5.335
163,7.065,8.828,3.949,3.725
164,0.812,0.807,4.971,1.315
165,6.033,0.249,5.121,4.639
166,5.188,4.213,2.602,9.154
167,0.226,5.404,1.378,0.669
168,0.177,9.829,6.709,5.054
169,9.003,8.45,9.506,2.188
170,7.091,7.615,1.128,5.681
171,5.53,6.244,8.228,4.622
172,5.262,3.468,7.588,6.418
173,9.991,7.851,1.316,4.374
174,9.124,5.408,6.978,5.172
175,9.366,0.183,2.228,5.198
176,2.824,5.971,6.756,0.175
177,3.623,7.885,1.881,5.243
178,2.484,4.655,4.896,6.386
179,9.981,2.24,7.189,6.676
180,5.691,4.148,6.214,4.895
181,0.082,0.082,5.51,5.433
182,6.614,3.968,4.699,1.398
183,5.7,4.399,0.012,8.512
184,0.711,7.3,9.359,6.658
185,6.985,4.045,0.238,3.219
186,8.065,2.956,9.865,4.537
187,5.056,9.832,3.166,8.126
188,6.753,9.385,6.694,0.672
189,4.808,2.856,2.072,8.637
190,1.277,2.541,8.743,4.166
191,4.191,7.287,0.126,2.124
