angle,pol_0,pol_45,pol_90,pol_135
0,8.462,4.606,4.478,1.479
1,7.305,2.864,2.388,9.905
2,5.645,9.871,5.976,4.412
3,9.025,1.621,4.612,1.014
4,0.367,4.649,2.553,4.113
5,4.37,5.72,8.773,6.37
6,1.45,9.935,4.539,2.59
7,9.706,1.725,3.51,6.317
8,5.766,2.121,8.97,9.02
9,1.704,1.694,7.848,1.259
10,7.674,5.179,0.947,2.973
11,4.519,8.949,7.123,1.91
12,1.099,8.651,9.287,1.429
13,2.725,6.157,5.904,5.335
14,6.979,0.001,2.97,3.944
15,3.172,7.086,1.737,5.015
16,0.036,2.124,6.623,2.447
17,7.444,6.409,8.028,5.13
18,4.278,9.29,9.037,1.188
19,2.623,9.619,7.488,3.005
20,2.396,3.242,1.916,8.541
21,0.737,8.93,7.968,2.326
22,8.901,6.706,7.494,6.515
23,3.34,6.886,2.169,5.696
24,7.485,9.107,6.028,2.177
25,5.586,2.244,6.676,6.112
26,2.803,7.536,6.267,4.76
27,7.778,7.573,5.253,4.456
28,7.186,2.349,4.609,8.578
29,1.682,8.934,3.911,4.466
30,1.016,6.953,0.522,2.092
31,2.36,9.961,0.848,8.871
32,9.633,3.81,0.13,9.728
33,9.73,2.855,4.238,0.156
34,7.378,8.494,6.569,9.881
35,3.899,4.39,9.213,7.265
36,8.757,2.007,7.943,8.989
37,9.198,3.367,4.063,3.81
38,5.59,2.834,5.161,2.05
39,5.0,1.069,8.373,7.915
40,5.755,6.522,2.061,5.532
41,1.244,9.231,6.781,8.721
42,5.38,9.321,5.382,9.977
43,5.734,2.298,0.75,7.195
44,3.792,3.103,1.29,2.741
45,2.928,5.392,4.913,2.555
46,8.658,9.296,2.973,5.842
47,7.478,2.084,6.269,9.759
48,9.681,4.323,3.273,0.805
49,5.375,3.807,5.505,6.467
50,1.518,5.964,7.232,6.836
51,6.074,8.118,5.718,6.945
52,7.276,0.605,4.023,7.415
53,9.027,6.446,2.475,4.802
54,7.829,6.46,8.526,9.047
55,7.317,4.455,8.759,0.775
56,6.037,0.826,3.182,8.423
57,6.57,1.397,1.593,0.659
58,2.053,0.574,5.471,4.135
59,9.792,0.867,5.277,6.704
60,5.382,2.847,6.283,4.056
61,9.293,6.975,9.393,9.4
62,0.236,3.35,1.239,6.824
63,1.73,9.384,6.902,6.307
64,9.857,1.799,8.642,5.018
65,8.852,3.202,4.368,2.756
66,9.979,8.029,3.64,3.145
67,7.621,6.148,2.499,3.687
68,6.926,3.306,0.197,5.095
69,5.223,5.619,0.826,2.407
70,4.157,9.362,5.896,7.61
71,4.456,8.99,9.169,6.218
72,5.464,3.073,4.322,9.112
73,5.928,2.04,6.272,2.018
74,0.355,4.37,4.698,3.291
75,4.18,1.741,2.273,8.051
76,0.741,5.206,0.961,3.619
77,0.128,4.239,3.397,4.141
78,2.83,2.08,0.245,3.017
79,9.506,8.442,0.875,0.211
80,8.459,4.965,2.608,5.554
81,5.038,3.47,3.669,1.294
82,3.977,7.93,2.913,2.654
83,9.772,0.406,1.476,0.043
84,8.075,9.611,2.29,6.102
85,7.484,3.501,6.893,4.642
86,5.875,1.889,5.928,1.476
87,1.016,5.814,6.674,0.189
88,0.694,6.335,2.948,8.294
89,1.244,0.763,8.969,8.691
90,3.502,1.746,7.765,6.574
91,3.075,6.449,4.625,5.58
92,1.742,6.592,1.525,7.302
93,5.463,0.459,9.15,6.496
94,3.758,1.106,7.829,5.574
95,1.955,4.622,1.713,4.679
96,5.834,6.619,6.175,6.351
97,9.582,7.983,4.634,9.83
98,2.895,8.67,9.018,3.217
99,2.935,4.046,5.072,5.771
100,8.137,0.432,2.356,1.394
101,2.274,8.65,1.125,5.063
102,1.52,5.012,6.499,0.134
103,8.217,0.169,7.212,0.251
104,2.519,2.158,3.586,8.193
105,5.407,1.582,7.722,5.466
106,3.415,9.744,1.975,3.419
107,5.815,7.65,2.991,7.266
108,9.955,3.406,1.664,5.176
109,2.85,2.117,1.811,0.913
110,7.742,6.707,1.363,8.724
111,0.011,6.038,5.758,0.01
112,8.615,8.974,8.804,0.927
113,0.967,1.466,2.552,3.727
114,9.107,6.768,2.911,4.298
115,2.989,7.844,3.207,7.355
116,0.354,3.714,1.171,0.992
117,2.413,5.944,7.779,7.353
118,8.101,4.852,6.329,7.387
119,9.023,8.581,1.624,3.694
120,1.631,1.239,2.171,4.312
121,8.186,1.408,2.286,2.944
122,0.37,9.966,6.971,1.204
123,9.842,7.942,6.598,9.182
124,3.989,7.034,3.17,4.693
125,6.34,3.196,1.663,9.975
126,0.756,6.862,4.704,2.353
127,5.183,1.475,3.654,1.837
128,8.097,5.973,5.363,9.206
129,8.792,0.123,3.735,2.358
130,0.522,5.947,1.723,0.32
131,9.469,6.387,5.264,7.642
132,4.342,8.435,2.591,9.072
133,7.643,5.41,7.995,7.178
134,4.374,9.384,6.728,2.636
135,2.559,4.391,4.744,4.672
136,1.919,3.621,3.976,2.02
137,1.651,9.1,8.078,2.04
138,2.75,5.094,8.293,3.27
139,6.744,0.039,1.453,6.339
140,6.732,8.85,9.836,2.908
141,6.229,7.328,4.505,3.586
142,2.623,8.566,1.408,6.428
143,9.04,4.862,6.81,8.381
144,5.52,2.347,0.341,2.97
145,4.147,4.386,2.042,2.548
146,6.979,6.225,7.232,2.322
147,0.749,6.396,0.193,3.054
148,3.521,8.055,4.157,5.16
149,8.153,8.802,7.125,9.879
150,1.097,6.891,0.689,8.987
151,7.161,3.821,5.775,6.846
152,6.066,9.186,3.959,0.103
153,5.862,0.092,1.701,2.57
154,9.623,6.882,8.165,0.242
155,5.316,6.755,5.06,9.304
156,2.886,1.047,4.047,2.964
157,4.453,0.1,1.121,0.466
158,3.162,1.036,9.55,8.953
159,7.243,8.413,6.955,6.074
160,0.187,8.774,9.296,5.595
161,2.507,1.686,8.636,6.488
162,6.832,0.819,0.786,0.423
163,8.811,4.134,5.333,1.597
164,4.477,6.709,1.773,6.95
165,8.378,0.415,5.857,9.973
166,6.232,4.035,5.644,1.011
167,4.033,7.751,8.428,2.405
168,0.844,3.038,4.557,1.662
169,1.059,0.642,9.878,1.693
170,8.573,8.938,8.531,1.206
171,2.139,7.742,4.858,4.403
172,1.064,0.007,4.999,1.695
173,7.186,5.215,1.338,0.019
174,9.655,8.027,3.061,3.052
175,6.41,8.84,5.747,7.149
176,6.29,3.534,0.593,1.635
177,5.875,9.75,4.676,8.977
178,3.997,4.098,9.163,6.155
179,1.655,3.802,3.954,3.641
180,0.688,0.164,3.157,8.488
181,0.738,4.549,1.422,5.513
182,7.292,8.164,3.779,2.076
183,7.729,1.575,3.739,2.58
184,6.604,5.434,8.801,3.139
185,1.566,8.977,8.077,1.979
186,0.688,0.016,6.069,1.673
187,0.082,4.774,8.529,4.395
188,8.785,0.292,7.51,1.147
189,5.298,2.991,8.787,0.811
190,3.984,2.314,7.205,7.207
191,9.392,2.59,6.856,4.705
192,2.695,6.512,7.204,7.868
193,5.43,8.076,6.193,9.942
194,2.561,8.958,4.74,6.458
195,4.467,2.05,9.583,1.11
196,0.149,5.349,3.175,3.069
197,2.235,7.588,5.375,7.634
198,0.08,8.86,4.684,5.199
199,4.614,3.066,7.193,1.118
200,9.816,7.947,4.67,8.326
201,6.526,6.475,6.453,9.461
202,9.031,8.675,7.424,3.218
203,1.101,3.93,7.457,7.308
204,9.119,6.186,9.5,3.059
205,8.343,2.064,0.097,5.541
206,2.214,1.214,1.686,0.075
207,8.038,6.092,0.236,9.746
208,1.091,3.743,8.589,9.493
209,6.766,3.162,1.933,4.271
210,4.744,7.308,3.672,3.582
211,8.814,0.534,2.834,2.076
212,6.516,2.833,5.08,2.673
213,9.618,4.295,8.704,4.985
214,8.973,7.7,3.681,4.922
215,2.628,2.48,9.738,8.745
216,8.096,5.924,9.288,8.022
217,0.138,9.189,7.029,2.793
218,6.67,5.349,3.969,6.608
219,7.548,2.308,1.962,4.293
220,7.713,2.902,7.787,4.524
221,3.394,2.742,3.054,9.955
222,2.649,7.208,9.863,0.333
223,3.969,4.557,0.438,1.317
224,1.282,4.287,2.662,5.103
225,7.68,5.763,7.78,8.583
226,9.289,7.027,3.438,9.755
227,6.054,8.569,8.491,8.954
228,0.94,8.961,3.841,3.444
229,8.238,5.802,9.389,2.676
230,0.527,5.532,7.27,8.346
231,7.233,2.835,6.374,2.245
232,2.078,6.73,0.931,2.36
233,2.427,9.478,4.459,5.469
234,8.546,7.147,1.412,4.28
235,2.056,0.758,4.577,3.52
236,1.225,1.067,5.817,2.475
237,3.292,2.589,7.483,6.881
238,1.397,2.892,3.377,2.721
239,9.189,0.822,5.621,4.565
240,9.255,7.283,7.921,3.836
241,4.319,2.835,2.305,0.876
242,1.057,2.975,7.204,9.33
243,1.555,2.663,7.657,4.178
244,2.612,2.741,3.826,1.811
245,5.532,4.064,2.385,7.613
246,3.543,2.485,5.41,1.423
247,6.344,2.702,9.231,3.877
248,1.818,7.255,8.502,0.365
249,1.062,1.526,7.647,0.409
250,9.186,2.591,4.813,4.104
251,5.94,4.929,6.177,7.596
252,6.098,6.59,8.05,0.621
253,9.982,1.794,6.005,6.019
254,1.358,0.488,1.038,6.092
255,9.268,4.255,1.438,4.992
256,2.892,9.782,0.425,5.957
257,6.789,6.004,1.14,0.653
258,0.869,7.997,4.603,3.431
259,9.654,2.343,1.902,8.026
260,8.707,2.435,5.744,6.342
261,6.709,0.421,1.253,4.681
262,8.017,8.738,2.773,8.188
263,1.435,1.369,9.992,8.996
264,1.47,8.418,2.743,9.643
265,9.879,7.911,3.867,5.156
266,3.916,6.158,2.081,3.478
267,1.663,0.982,8.426,1.122
268,6.878,4.719,1.152,8.527
269,4.76,3.488,1.673,9.251
270,6.035,7.906,7.923,6.191
271,2.186,4.715,9.123,1.487
272,1.872,9.75,3.509,7.774
273,3.546,0.651,4.125,4.577
274,6.725,5.67,5.487,0.948
275,9.369,1.837,7.771,9.644
276,9.127,5.945,4.148,5.418
277,3.898,1.45,5.437,3.072
278,8.992,1.122,4.58,4.564
279,4.246,6.166,1.619,7.655
280,4.021,5.801,4.337,5.072
281,2.673,8.614,7.493,8.72
282,1.737,7.415,9.691,5.458
283,1.916,7.602,0.022,6.53
284,5.418,5.487,5.92,1.794
285,9.97,4.056,7.759,7.103
286,9.609,0.605,7.799,5.108
287,8.302,9.315,7.264,9.535
288,8.251,2.569,2.86,4.422
289,4.277,7.788,7.101,5.409
290,4.178,6.467,0.329,7.888
291,0.286,9.64,7.576,3.429
292,1.487,7.693,0.257,6.246
293,0.311,5.174,8.947,1.519
294,9.818,5.995,1.007,7.631
295,9.937,8.712,0.014,0.602
296,4.158,2.563,0.545,5.159
297,9.882,2.499,8.084,9.321
298,4.871,0.552,6.695,9.71
299,9.419,0.133,8.405,8.24
300,7.328,9.934,5.95,2.684
301,8.859,1.081,4.22,0.85
302,8.648,2.052,3.469,4.705
303,8.269,5.774,6.512,3.345
304,8.421,6.022,0.951,9.464
305,0.116,0.479,3.078,9.454
306,9.042,3.764,8.931,0.527
307,1.65,1.927,9.716,0.259
308,8.581,0.073,3.043,6.775
309,1.93,5.697,3.587,6.092
310,5.7,5.676,7.873,0.144
311,0.968,2.0,9.802,1.195
312,6.008,6.973,3.132,1.598
313,6.214,0.482,9.532,6.807
314,2.486,2.213,4.484,3.435
315,8.674,3.718,5.264,6.673
316,6.017,8.982,5.098,1.066
317,8.232,3.887,6.448,5.402
318,0.231,2.909,4.413,7.198
319,2.698,9.714,2.594,8.689
320,2.6,6.152,1.586,6.289
321,0.784,5.679,2.138,1.836
322,8.903,4.745,1.157,3.341
323,6.628,8.739,1.074,4.946
324,6.094,0.141,5.809,5.331
325,2.795,4.546,1.617,6.385
326,9.407,6.599,1.229,7.649
327,5.559,1.22,7.711,3.927
328,1.49,4.08,0.862,0.941
329,8.666,5.841,4.899,7.913
330,1.835,8.227,2.209,9.732
331,3.727,6.967,1.361,1.961
332,6.244,0.149,1.219,4.971
333,9.279,4.748,2.007,8.514
334,6.101,0.177,4.037,1.865
335,8.091,3.185,5.66,2.432
336,9.8,8.076,4.559,8.016
337,9.67,4.935,6.12,3.31
338,8.68,9.694,9.361,6.229
339,4.443,5.508,3.44,9.122
340,8.84,9.533,5.463,4.507
341,6.047,9.359,9.34,4.723
342,8.729,4.77,0.024,0.944
343,4.152,6.989,6.937,9.895
344,1.516,1.652,1.3,1.418
345,8.775,4.777,8.332,9.975
346,5.908,8.176,1.891,0.49
347,5.475,3.961,8.863,2.501
348,2.598,2.768,4.112,0.007
349,6.251,1.926,7.239,1.409
350,1.511,7.971,6.827,1.922
351,9.614,6.578,2.224,1.551
352,9.695,1.475,4.3,9.845
353,1.446,3.417,7.534,1.85
354,6.593,1.446,3.45,3.451
355,6.08,5.792,2.047,9.072
356,7.686,4.649,8.072,6.787
357,0.568,0.202,6.921,1.923
358,0.342,6.463,0.984,6.538
359,4.414,7.076,7.033,0.749
