angle,pol_0,pol_45,pol_90,pol_135
0,4.302,7.006,5.914,7.799
1,6.159,5.922,5.718,4.61
2,1.919,7.662,6.135,2.981
3,1.114,7.485,5.398,7.823
4,3.994,2.75,1.887,7.216
5,0.578,0.818,5.603,8.752
6,6.969,3.491,0.416,2.527
7,7.286,3.066,2.057,3.965
8,9.711,6.954,9.6,2.328
9,0.602,7.591,8.053,7.334
10,6.793,6.517,8.393,6.118
11,3.193,3.394,3.1,0.054
12,2.081,9.543,2.341,4.827
13,9.145,8.43,9.429,0.526
14,4.972,4.353,3.305,8.389
15,6.877,3.503,5.8,9.991
16,3.095,4.262,4.516,5.207
17,1.164,5.187,4.36,1.276
18,6.753,2.563,5.827,7.212
19,2.182,9.895,5.06,5.008
20,3.226,0.6,3.163,6.047
21,2.816,3.477,2.371,7.819
22,3.137,0.43,7.78,8.172
23,9.181,6.262,6.014,2.553
24,5.38,8.631,5.811,2.509
25,2.675,1.678,2.004,0.551
26,0.588,7.504,0.162,1.627
27,7.322,9.638,5.965,8.334
28,8.783,9.661,5.344,0.386
29,6.224,1.844,9.711,3.812
30,7.529,4.504,7.527,1.548
31,9.745,9.034,4.937,9.627
32,0.24,7.289,7.237,6.029
33,5.284,8.206,1.369,5.669
34,2.829,2.337,2.238,3.87
35,5.191,4.468,2.908,6.625
36,8.026,9.447,9.997,2.517
37,5.486,4.335,4.058,5.53
38,3.512,1.428,7.849,7.051
39,9.429,4.028,4.457,4.349
40,7.347,2.827,5.97,9.885
41,7.583,0.812,1.148,8.834
42,4.698,9.975,7.887,4.968
43,5.219,1.078,5.044,9.127
44,6.137,7.055,0.144,8.49
45,4.396,4.502,6.67,4.896
46,8.176,9.525,3.415,9.45
47,2.309,7.714,8.513,2.0
48,1.13,9.839,8.291,9.876
49,8.242,3.342,7.515,2.721
50,5.804,4.593,5.988,3.328
51,6.95,4.102,2.545,1.434
52,3.23,6.804,7.298,2.583
53,3.024,7.098,6.129,8.675
54,9.192,6.982,9.133,0.996
55,2.865,6.454,1.129,3.317
56,6.397,0.739,1.936,5.403
57,4.547,5.256,3.566,2.118
58,5.049,3.717,1.731,4.977
59,8.078,3.235,6.14,3.5
60,6.72,8.116,8.905,4.549
61,6.708,8.253,8.306,8.518
62,6.788,9.527,7.248,5.454
63,1.044,1.482,1.159,3.199
64,7.853,9.298,0.158,1.854
65,8.131,0.138,1.583,2.339
66,9.191,1.764,4.482,6.288
67,3.454,9.842,5.653,6.779
68,0.628,0.234,9.851,5.508
69,7.354,1.077,1.402,1.773
70,2.149,4.683,1.22,0.878
71,4.814,4.404,5.362,4.535
72,2.57,0.248,5.666,0.946
73,4.782,2.368,5.281,4.33
74,1.831,5.378,0.895,9.608
75,0.625,8.807,2.246,4.419
76,5.282,4.645,2.46,2.564
77,0.228,2.832,5.521,1.903
78,4.589,6.478,6.689,6.028
79,1.591,9.028,3.24,9.785
80,1.051,6.545,6.657,1.44
81,3.369,3.751,9.264,9.163
82,1.53,7.692,0.89,8.684
83,7.589,1.327,3.516,9.137
84,8.888,1.254,7.422,2.843
85,0.772,1.574,0.07,6.003
86,9.117,9.642,9.548,9.277
87,5.687,9.763,8.907,3.997
88,6.825,3.995,1.75,6.033
89,9.549,5.514,0.624,1.567
90,5.789,5.268,3.362,7.285
91,6.733,6.246,1.096,5.633
92,7.052,5.852,2.203,3.333
93,9.068,3.512,7.331,7.234
94,5.048,7.562,8.637,5.927
95,9.512,5.316,0.172,0.037
96,8.907,0.931,0.568,1.839
97,5.598,1.487,4.216,0.134
98,1.813,5.389,4.623,0.941
99,7.848,9.264,7.982,9.594
100,2.403,5.314,3.443,1.572
101,3.008,9.157,1.406,6.303
102,3.969,2.066,7.095,4.351
103,1.543,8.477,4.268,1.719
104,2.222,8.946,2.305,2.57
105,2.679,8.22,4.931,9.48
106,7.397,0.852,9.341,5.476
107,8.502,1.13,6.939,4.77
108,4.231,1.796,0.166,6.664
109,5.291,2.115,5.04,7.509
110,6.967,5.731,2.128,7.635
111,6.085,8.225,2.638,9.15
112,2.596,3.254,3.19,9.384
113,7.216,2.34,6.963,7.779
114,9.339,6.047,5.557,1.045
115,1.628,8.68,5.032,2.467
116,1.717,7.988,3.877,1.941
117,0.576,9.459,5.524,6.943
118,7.22,6.181,8.81,3.651
119,1.08,4.236,5.71,0.358
120,9.493,6.705,8.576,3.766
121,5.78,1.203,4.326,3.517
122,0.918,5.614,6.235,8.835
123,9.228,5.028,6.979,3.063
124,4.765,8.659,8.882,4.319
125,2.755,5.907,5.156,2.815
126,0.059,6.153,8.497,6.866
127,4.595,7.638,4.286,4.406
128,0.674,3.369,2.042,4.442
129,0.748,2.895,7.474,1.01
130,5.224,7.428,9.225,6.654
131,9.14,2.366,4.278,8.506
132,7.411,7.058,5.054,9.906
133,6.759,8.065,2.202,1.723
134,4.023,2.247,0.976,1.754
135,8.236,9.357,3.481,8.879
136,3.57,2.863,9.609,6.093
137,8.243,5.37,9.102,2.931
138,8.312,4.746,4.25,8.532
139,4.599,0.337,7.112,0.218
140,0.763,8.909,2.869,6.089
141,2.854,5.293,9.453,3.774
142,7.088,8.971,0.233,7.672
143,9.833,2.336,4.801,6.915
144,0.702,1.866,3.402,3.629
145,1.249,7.651,1.636,4.926
146,1.959,7.956,7.23,4.692
147,7.326,8.143,1.233,8.516
148,4.955,4.602,2.186,3.028
149,1.334,5.714,5.466,8.924
150,5.397,6.045,7.516,8.03
151,8.801,9.112,7.091,1.156
152,3.019,2.229,1.016,5.523
153,7.552,2.2,6.358,3.893
154,0.196,3.566,2.591,0.258
155,4.317,3.404,1.412,0.766
156,5.868,4.017,0.075,1.46
157,4.881,8.884,2.324,4.678
158,6.156,7.022,3.583,2.682
159,4.347,4.714,0.378,0.667
160,4.399,8.437,4.778,0.198
161,2.548,6.553,4.522,2.298
162,1.916,1.978,0.819,2.365
163,8.942,1.566,1.538,6.932
164,3.53,3.742,6.551,9.289
165,2.9,6.101,7.536,2.405
166,1.074,5.186,6.098,4.924
167,7.238,5.787,4.436,5.017
168,4.177,5.219,6.283,9.295
169,5.211,8.296,2.722,9.294
170,5.328,2.981,2.672,8.952
171,6.33,0.875,5.109,1.825
172,5.844,9.013,0.632,6.415
173,4.02,3.214,1.187,9.891
174,9.481,1.927,8.081,1.069
175,0.232,0.832,7.69,3.958
176,7.024,1.106,3.942,2.704
177,3.756,9.059,7.387,6.037
178,7.442,8.914,0.022,3.723
179,7.339,2.611,0.776,0.704
180,0.24,6.234,0.93,4.252
181,9.911,1.282,6.853,1.319
182,2.29,0.853,5.011,2.831
183,3.319,2.478,3.593,0.015
184,0.957,7.389,3.892,3.471
185,4.009,7.912,2.882,3.301
186,4.617,3.702,5.498,9.885
187,7.352,0.748,4.783,8.018
188,8.474,5.771,5.973,9.43
189,1.576,4.439,2.965,7.602
190,2.304,6.942,1.7,6.937
191,8.023,7.193,1.783,0.681
192,5.958,2.894,2.365,4.761
193,8.883,6.936,0.598,0.568
194,4.845,6.964,2.615,4.993
195,9.685,5.719,1.226,1.247
