angle,pol_0,pol_45,pol_90,pol_135
0,6.559,9.742,0.927,9.023
1,7.725,5.108,6.852,6.38
2,4.228,9.481,6.831,3.026
3,4.452,4.722,3.875,2.545
4,5.64,7.577,6.309,6.425
5,8.664,6.509,4.311,2.545
6,2.06,1.968,8.298,9.472
7,0.802,4.597,9.97,7.581
8,9.316,8.026,8.295,2.48
9,6.068,3.138,2.424,3.055
10,5.907,8.991,0.932,3.823
11,3.172,7.921,4.101,9.109
12,4.552,3.339,2.608,8.57
13,9.152,5.326,7.402,7.761
14,2.179,9.896,5.746,6.539
15,5.669,6.557,2.306,1.475
16,9.868,4.807,4.16,1.037
17,1.157,0.702,2.397,3.964
18,7.115,3.641,9.128,7.006
19,3.015,9.024,3.994,8.645
20,7.227,2.644,4.745,4.342
21,8.29,5.974,3.141,5.223
22,6.204,7.846,3.915,5.998
23,7.757,5.447,3.429,6.066
24,7.938,0.887,5.221,4.156
25,3.265,8.0,5.403,3.223
26,7.971,1.81,3.744,1.505
27,2.969,1.527,1.328,3.859
28,1.184,4.435,8.996,4.232
29,1.931,1.845,3.41,6.354
30,5.493,9.397,7.603,9.481
31,7.379,8.307,1.813,7.877
32,4.053,9.099,5.106,6.141
33,2.174,0.992,3.107,8.275
34,2.0,3.396,3.721,4.83
35,8.248,6.932,5.301,2.943
36,3.095,1.886,1.703,2.227
37,3.498,0.402,1.463,6.951
38,9.023,4.596,0.476,2.656
39,1.694,5.54,1.893,3.521
40,2.431,4.452,7.65,4.78
41,6.02,7.826,5.799,6.621
42,6.902,2.892,0.51,7.813
43,8.784,9.506,1.636,1.827
44,6.078,5.164,4.104,0.115
45,1.087,5.659,1.281,8.599
46,5.087,9.147,0.277,1.13
47,4.483,5.656,2.301,2.609
48,5.594,5.448,2.21,7.986
49,4.385,3.619,0.713,8.012
50,1.949,8.847,0.978,1.143
51,7.483,6.756,3.297,9.882
52,5.209,4.345,5.982,6.715
53,4.82,1.021,0.711,3.418
54,0.895,7.668,6.712,6.007
55,2.052,8.133,2.261,9.857
56,3.257,0.953,9.2,4.043
57,4.046,6.716,4.162,7.951
58,7.521,2.068,6.215,0.487
59,8.078,0.6,7.466,3.761
60,4.767,7.797,6.29,3.153
61,9.657,7.019,5.008,0.103
62,8.561,4.636,0.874,1.408
63,7.352,8.374,9.841,2.199
64,5.452,6.712,3.797,3.637
65,5.152,6.577,6.183,5.559
66,5.842,5.709,8.02,7.994
67,6.664,4.69,7.406,8.122
68,4.774,7.342,4.972,4.536
69,2.037,3.576,0.021,5.388
70,8.359,0.866,3.632,3.639
71,4.523,1.93,9.316,8.096
72,3.155,5.393,5.92,4.202
73,5.683,6.428,2.652,9.538
74,7.44,4.605,2.743,2.971
75,9.093,0.764,7.608,6.55
76,0.3,3.121,0.943,9.707
77,8.313,2.243,3.134,2.12
78,3.397,4.023,1.882,7.201
79,7.645,0.604,7.615,6.038
80,8.156,2.807,1.977,6.485
81,6.393,2.54,5.486,6.17
82,6.783,9.134,2.815,3.506
83,8.586,6.581,5.598,8.005
84,2.55,5.62,2.15,8.784
85,5.27,6.957,8.891,3.444
86,8.913,0.792,6.334,1.437
87,5.595,0.646,5.347,2.366
88,9.639,5.603,4.727,5.56
89,0.088,8.047,1.112,3.041
90,5.57,3.867,6.754,6.028
91,7.238,0.287,2.881,0.937
92,3.557,6.602,9.775,1.131
93,8.065,1.293,9.53,5.591
94,0.823,2.634,8.233,2.485
95,6.235,8.464,3.626,7.031
96,1.574,1.717,7.237,5.078
97,8.778,6.033,2.445,7.026
98,7.397,0.549,8.471,5.321
99,3.211,9.021,4.976,5.95
100,4.356,7.168,0.593,4.59
101,4.594,3.031,0.305,6.952
102,6.529,3.165,8.806,0.553
103,4.653,7.446,8.981,9.407
104,0.224,4.972,6.92,8.335
105,5.172,6.202,8.794,6.396
106,6.721,0.056,3.169,5.058
107,5.199,2.07,9.182,6.962
108,8.641,0.27,7.163,3.703
109,0.712,0.413,6.387,0.701
110,9.835,8.035,5.987,8.896
111,3.886,6.093,8.973,1.869
112,2.019,6.677,6.751,8.879
113,1.322,2.41,0.036,2.108
114,8.476,8.113,2.192,2.153
115,1.056,5.742,1.179,8.127
116,7.652,4.704,7.037,6.855
117,9.046,9.998,3.824,5.562
118,9.327,3.135,0.54,1.93
119,1.061,6.313,6.567,5.698
120,0.065,9.628,5.46,9.703
121,4.435,4.184,6.149,8.186
122,5.878,8.603,2.105,4.51
123,5.897,5.255,8.285,6.151
124,5.434,6.189,4.444,3.665
125,9.229,3.198,8.021,9.187
126,7.115,0.159,9.788,8.893
127,3.002,8.019,5.312,5.708
128,3.717,0.407,6.135,9.726
129,6.722,5.536,5.867,6.963
130,5.644,7.587,4.061,3.543
131,3.349,8.328,0.484,5.908
132,9.61,8.819,4.355,3.62
133,9.339,8.297,9.121,4.072
134,1.575,9.228,6.904,5.287
135,1.507,5.72,8.793,5.595
136,8.321,8.124,0.022,9.823
137,6.146,7.212,1.386,9.462
138,5.662,8.245,1.103,7.222
139,1.49,3.266,1.457,6.117
140,4.261,7.618,9.355,0.348
141,4.654,5.091,8.888,8.302
142,6.961,2.073,7.864,8.346
143,4.829,3.372,6.673,5.032
144,7.75,3.42,7.06,9.876
145,4.465,7.012,6.749,0.205
146,6.658,5.683,8.49,3.041
147,2.389,6.382,7.151,2.144
148,1.538,4.11,5.515,2.84
149,7.893,3.516,9.984,2.521
150,0.157,5.865,7.228,8.557
151,8.405,9.854,9.108,1.478
152,7.66,3.463,3.154,4.565
153,4.402,6.884,6.946,2.081
154,4.937,5.257,8.149,7.907
155,0.535,1.986,9.014,7.456
156,2.84,9.586,7.517,5.047
157,1.014,2.941,4.282,0.051
158,3.331,9.6,0.627,0.168
159,9.007,9.508,1.353,3.239
160,2.329,2.993,6.712,4.233
161,5.178,0.288,5.186,6.562
162,4.868,9.708,7.73,6.335
163,4.087,1.412,1.804,1.873
164,0.437,4.545,9.873,5.168
165,0.735,9.006,1.506,7.665
166,2.721,2.926,6.579,5.896
167,5.953,7.822,8.128,6.7
168,8.629,3.553,5.283,3.447
169,6.721,0.742,9.299,0.488
170,7.018,5.198,8.563,2.287
171,3.356,6.677,8.292,6.651
