angle,pol_0,pol_45,pol_90,pol_135
0,8.866,3.76,7.962,0.909
1,3.452,3.851,2.396,1.95
2,6.126,4.292,1.805,7.553
3,0.227,7.159,8.991,2.785
4,1.628,3.373,9.314,6.259
5,5.583,7.075,6.218,2.095
6,3.839,2.904,3.097,5.877
7,0.871,6.263,8.302,2.638
8,6.688,7.041,5.838,8.699
9,3.272,0.189,9.898,0.445
10,4.637,7.268,2.557,4.08
11,4.805,0.533,5.874,3.451
12,3.672,3.501,1.566,3.452
13,5.183,4.249,6.801,7.973
14,2.676,2.446,0.524,9.757
15,0.829,6.524,5.127,8.026
16,8.797,6.717,3.326,6.166
17,6.149,7.901,7.246,8.146
18,7.315,0.833,2.745,3.572
19,1.903,9.112,0.936,3.221
20,9.114,4.651,5.598,8.519
21,1.879,4.248,7.88,4.068
22,8.572,0.496,0.579,9.698
23,3.651,0.645,2.853,1.936
24,8.064,1.396,2.118,6.636
25,0.506,5.365,9.177,3.623
26,7.044,6.139,3.739,1.307
27,6.28,8.83,2.959,2.348
28,9.243,5.707,1.647,3.038
29,0.877,2.966,4.216,1.368
30,6.905,0.168,5.321,0.516
31,9.524,3.408,2.999,5.437
32,2.03,0.686,1.542,0.578
33,6.582,3.964,4.196,3.221
34,9.357,7.381,3.546,0.686
35,7.876,4.416,3.548,6.734
36,9.066,6.917,4.671,7.353
37,2.888,1.088,0.186,2.651
38,2.576,3.85,4.925,4.41
39,1.513,5.316,9.341,5.847
40,4.177,7.605,9.229,1.859
41,4.878,2.565,3.721,2.138
42,8.962,7.535,7.041,9.915
43,5.651,8.726,9.434,8.653
44,1.682,1.521,9.569,6.993
45,2.397,6.461,9.562,9.714
46,5.399,9.761,4.956,0.371
47,6.522,0.007,1.418,6.106
48,1.12,5.813,4.168,0.178
49,5.138,7.449,3.806,6.427
50,4.882,7.594,9.097,3.962
51,1.979,7.404,0.678,2.693
52,9.26,2.868,4.695,8.32
53,6.363,1.569,2.789,7.974
54,3.594,2.825,7.9,5.513
55,1.228,6.854,7.26,4.144
56,8.85,4.946,8.667,3.081
57,8.118,4.461,1.523,6.567
58,2.478,3.612,8.992,5.852
59,9.38,7.605,2.511,4.65
60,3.02,1.274,5.12,7.991
61,2.279,0.449,9.86,1.043
62,1.33,2.326,0.74,9.786
63,7.155,6.939,2.812,0.156
64,6.814,5.021,9.352,5.345
65,7.715,4.239,7.909,4.442
66,1.889,8.322,0.148,0.585
67,9.444,0.132,6.649,4.23
68,5.109,3.34,0.119,0.258
69,5.444,1.044,8.975,2.199
70,8.02,7.209,5.334,5.287
71,7.837,4.276,2.128,5.873
72,4.501,9.234,7.295,4.132
73,8.762,3.825,3.836,6.655
74,1.745,8.879,3.377,2.199
75,1.342,9.616,6.707,4.244
76,0.78,0.152,2.319,2.538
77,3.581,4.038,8.517,7.938
78,4.241,6.953,9.796,4.018
79,9.965,5.939,5.257,7.512
80,4.605,8.45,8.141,6.385
81,1.108,7.035,0.42,9.26
82,0.186,9.56,9.729,4.194
