angle,pol_0,pol_45,pol_90,pol_135
0,3.274,0.99,9.287,6.755
1,1.924,6.974,1.265,6.412
2,6.389,7.767,6.618,0.013
3,7.315,4.585,6.367,2.779
4,7.258,1.48,5.603,9.801
5,5.965,4.322,2.909,8.165
6,1.23,5.036,3.024,7.248
7,5.094,7.098,9.185,9.095
8,1.818,6.389,7.783,9.866
9,8.889,2.988,0.803,8.075
10,6.829,1.1,6.94,3.358
11,5.114,3.732,6.853,5.639
12,4.34,1.98,4.372,0.087
13,9.64,4.744,3.766,4.646
14,7.875,7.089,7.05,4.616
15,8.28,5.843,8.932,2.616
16,1.831,7.509,9.205,7.708
17,0.617,7.466,8.131,8.67
18,6.534,5.57,8.438,0.624
19,0.438,6.957,1.463,3.823
20,5.695,0.251,9.022,3.874
21,0.652,9.585,6.153,4.014
22,3.925,3.664,3.571,6.866
23,0.599,6.752,8.774,6.681
24,3.969,5.547,6.422,6.357
25,8.81,1.47,8.503,8.24
26,1.207,7.358,9.688,4.1
27,7.318,5.374,2.481,0.841
28,3.196,4.383,8.23,1.306
29,9.763,9.834,1.452,8.551
30,4.917,4.476,9.293,5.176
31,2.476,0.659,5.94,1.145
32,2.459,0.313,9.559,3.096
33,7.829,0.961,4.703,5.634
34,1.606,7.439,9.999,3.928
35,5.467,7.537,1.052,6.812
36,4.584,4.647,6.091,9.356
37,1.205,0.923,4.597,4.919
38,9.38,6.553,1.164,9.678
39,1.653,2.923,6.424,9.412
40,7.327,7.385,9.259,8.567
41,8.489,6.636,8.461,2.342
42,8.03,6.978,3.999,5.238
43,0.902,6.727,3.814,4.925
44,6.705,7.533,6.958,9.496
45,7.365,7.72,8.05,3.727
46,9.052,8.32,2.679,1.698
47,7.498,6.288,5.862,5.515
48,8.871,2.309,3.924,8.201
49,3.253,1.098,9.979,1.2
50,9.067,0.363,3.114,1.087
51,7.714,1.097,4.531,6.472
52,5.78,7.365,9.913,4.013
53,8.983,1.373,2.492,6.241
54,6.627,2.564,0.719,3.114
55,5.069,6.598,2.264,8.532
56,6.889,0.989,8.333,6.489
57,1.617,9.506,3.626,9.099
58,5.27,0.868,6.137,8.622
59,5.647,3.442,3.379,3.39
60,2.129,0.018,0.255,2.476
61,0.498,9.821,4.174,1.637
62,6.507,0.886,6.893,9.239
63,1.976,8.804,6.153,7.41
64,6.986,3.082,2.935,5.229
65,7.299,8.426,9.829,6.84
66,5.33,7.953,2.143,1.42
67,1.807,0.675,5.313,7.392
68,8.364,2.792,1.538,7.62
69,0.776,0.855,2.253,8.949
70,3.881,2.883,4.501,6.077
71,8.929,1.973,8.546,8.6
72,7.54,6.167,3.746,3.662
73,0.065,2.546,6.594,7.802
74,4.976,0.774,3.623,8.134
75,7.17,3.734,7.573,9.5
76,7.262,6.253,7.588,8.11
77,3.19,6.579,1.097,7.417
78,4.161,0.483,8.936,7.468
79,7.913,4.655,3.036,4.022
80,2.264,6.952,5.34,2.759
81,1.437,5.934,0.948,1.293
82,8.8,6.717,8.311,6.068
83,6.087,1.493,3.879,7.648
84,3.564,9.768,5.457,6.378
85,4.562,0.655,8.602,2.091
86,5.035,3.095,3.636,6.084
87,4.067,0.709,0.674,4.07
88,9.778,3.535,4.98,0.821
89,7.372,7.03,5.794,2.57
90,4.343,8.957,6.294,5.36
91,2.476,3.046,4.755,6.087
92,9.14,4.193,3.763,2.707
93,3.538,5.929,2.59,3.47
94,8.466,7.633,6.246,5.331
95,2.177,3.501,4.58,7.47
96,5.724,3.815,5.485,0.93
97,6.798,5.593,7.038,5.442
98,2.702,2.207,1.922,2.467
99,1.098,5.983,8.996,5.339
100,5.588,7.333,9.108,4.163
101,2.047,3.577,5.903,3.341
102,7.693,8.844,2.427,1.761
103,0.276,4.327,5.679,1.075
104,9.829,0.828,9.323,7.12
105,4.64,4.854,1.679,4.183
106,2.859,8.557,4.313,6.572
107,9.924,3.386,8.317,1.967
108,6.729,8.059,5.799,0.9
109,7.885,9.651,4.689,4.976
110,3.132,8.619,1.421,7.665
111,8.156,0.599,0.761,4.818
112,7.601,4.527,0.341,1.718
113,0.653,0.403,2.196,7.838
114,8.998,2.316,5.141,8.46
115,0.381,1.591,1.055,7.253
116,7.38,2.096,3.868,3.403
117,4.053,0.873,6.799,7.728
118,5.293,5.654,4.23,1.253
119,0.531,3.412,0.875,8.291
120,4.275,0.957,3.465,8.423
121,7.657,0.858,7.284,1.959
122,7.905,3.551,0.759,7.458
123,7.894,9.464,5.858,9.107
124,2.999,2.423,9.526,4.554
125,0.238,3.952,4.287,4.083
126,2.082,0.255,9.299,4.278
127,5.815,5.78,0.083,2.445
128,7.572,0.162,4.847,7.444
129,6.076,2.991,0.334,3.732
130,9.343,4.953,4.314,6.408
131,9.986,0.163,8.257,1.615
132,4.39,6.337,4.315,9.544
133,8.544,0.853,8.395,1.547
134,7.85,3.525,5.559,0.418
135,3.216,6.089,6.691,7.208
136,5.717,4.474,2.757,5.031
137,1.23,0.065,7.005,3.479
138,0.049,3.08,9.637,2.35
139,8.003,4.643,5.996,0.346
140,9.414,5.458,1.245,5.314
141,0.401,9.646,4.288,5.561
142,1.484,7.235,0.03,2.628
143,2.879,7.513,7.093,6.252
144,1.13,4.213,3.408,8.054
145,2.951,4.447,3.74,8.16
146,8.077,1.781,0.05,5.647
147,7.727,8.754,5.22,6.548
148,7.964,5.447,9.537,7.879
149,3.126,7.064,6.592,3.901
150,7.761,2.576,8.035,4.259
151,4.373,9.209,9.051,7.303
152,0.255,7.923,9.946,0.974
153,3.148,9.314,6.993,2.531
154,9.676,8.968,8.321,5.104
155,5.922,1.957,3.393,2.523
156,2.541,9.651,6.342,4.091
157,5.315,6.615,8.227,5.931
158,9.18,7.335,7.438,2.437
159,6.087,9.17,8.487,6.041
160,8.843,3.043,2.388,7.822
161,5.986,4.156,2.361,1.184
162,9.873,4.806,5.257,1.437
163,0.556,7.414,3.2,0.205
164,1.15,9.134,8.933,8.689
165,1.804,7.553,6.273,3.137
166,3.389,7.3,6.645,3.745
167,1.465,6.872,4.823,2.983
168,8.92,6.02,3.884,9.76
169,7.529,4.947,4.904,7.654
170,6.602,5.035,0.263,0.546
171,8.264,1.76,9.458,6.771
172,8.688,2.62,6.945,7.666
173,4.815,2.99,5.763,1.354
174,7.831,4.891,6.539,2.032
175,2.054,5.855,5.976,0.784
176,2.895,9.318,7.943,9.327
177,5.106,0.351,0.6,7.826
178,6.208,8.625,2.393,5.221
179,4.334,2.099,5.718,2.811
180,7.821,3.517,0.976,7.257
181,7.636,1.057,9.868,7.346
182,2.048,4.35,6.474,9.192
183,0.138,5.689,8.733,4.867
184,5.063,8.757,0.846,6.992
185,7.999,1.303,0.379,9.528
186,8.811,4.068,8.457,0.896
187,5.718,3.517,1.306,7.013
188,1.136,4.542,1.598,6.552
189,2.554,9.365,2.647,2.79
190,3.871,1.035,9.706,9.982
191,6.109,0.002,2.098,9.63
192,5.745,0.616,3.566,9.779
193,1.652,3.016,4.191,7.669
194,2.221,8.487,4.809,5.855
195,8.354,0.988,9.416,4.29
196,6.696,1.799,6.26,5.373
197,6.787,7.291,3.933,2.015
198,4.945,9.816,0.752,9.217
199,1.938,2.954,2.49,0.919
200,6.995,1.878,7.452,6.599
201,5.593,4.914,8.413,1.45
202,1.728,6.636,3.642,2.974
203,7.791,0.089,3.535,1.743
204,1.012,2.342,2.848,6.091
205,8.325,3.077,9.273,1.797
206,5.766,0.845,1.985,9.645
207,4.269,1.497,2.366,3.786
208,8.245,7.011,7.598,4.691
209,1.916,5.097,1.087,7.879
210,4.958,5.585,2.608,2.93
211,8.582,7.198,3.273,9.279
212,5.761,3.18,8.347,9.968
213,4.282,0.143,2.256,9.601
214,5.172,9.063,7.562,3.287
215,0.59,7.473,2.399,0.113
216,2.88,2.273,7.571,1.51
217,1.151,8.618,7.091,3.025
218,6.494,1.06,9.318,9.763
219,0.055,6.445,7.048,0.998
220,1.635,4.436,5.693,2.202
221,0.4,5.394,4.526,0.869
222,3.168,2.23,6.43,4.752
223,8.932,6.794,8.715,6.586
224,6.985,4.346,4.057,6.45
225,0.824,3.338,3.112,1.839
226,0.45,9.595,9.208,4.564
227,0.892,8.798,8.568,5.726
228,6.052,8.984,7.566,1.985
229,6.912,6.123,9.212,8.203
230,3.991,7.031,1.992,7.35
231,4.848,0.465,0.214,8.913
232,5.755,2.63,1.2,4.105
233,9.39,0.414,3.293,0.166
234,9.325,0.346,4.516,2.554
235,1.94,3.202,3.238,1.094
236,9.017,0.314,5.063,4.393
237,8.572,5.503,1.583,4.117
238,3.273,6.547,9.17,1.441
239,4.337,0.054,0.958,5.09
240,2.725,1.751,6.019,6.185
241,0.553,3.463,9.42,0.191
242,0.426,6.894,6.254,8.502
243,8.465,9.688,6.146,2.775
244,3.612,1.071,0.117,9.161
245,6.552,2.873,6.098,0.725
246,5.032,0.311,0.166,8.76
247,9.836,0.096,8.692,6.983
248,3.581,7.429,8.216,9.115
249,5.901,2.453,7.654,2.924
250,7.884,8.101,6.475,5.157
251,5.803,0.673,2.377,2.926
252,4.554,7.83,5.771,8.322
253,4.443,8.332,1.256,4.38
254,3.02,1.016,3.113,6.693
255,3.626,6.595,5.665,2.598
256,7.353,5.891,1.713,5.698
257,5.361,9.524,4.052,6.004
258,3.007,4.608,8.78,7.296
259,9.493,3.267,7.899,0.963
260,0.977,2.336,6.958,8.739
261,7.495,4.116,9.029,2.018
262,1.997,0.396,9.537,5.775
263,7.805,7.578,4.898,9.444
264,3.297,3.749,3.788,7.246
265,2.025,5.263,2.729,9.152
266,5.101,3.187,7.121,7.959
267,9.862,7.126,5.637,8.638
268,2.374,1.962,1.871,3.869
269,5.249,7.484,5.929,4.006
270,3.104,3.907,0.992,5.238
271,8.37,8.228,7.666,0.328
272,6.721,8.043,3.042,3.359
273,6.431,6.333,2.171,1.326
274,3.319,5.166,7.635,1.906
275,9.839,7.233,8.539,5.699
276,0.098,4.777,6.729,1.608
277,4.6,7.117,8.474,8.861
278,2.889,2.879,0.76,5.756
279,4.992,2.086,4.797,6.781
280,4.005,5.876,9.485,2.626
281,1.679,2.181,0.255,3.714
282,0.115,1.928,0.849,8.395
283,7.988,7.164,0.559,0.105
284,3.399,6.569,2.768,8.274
285,3.992,6.019,6.504,6.482
286,4.945,8.97,2.346,3.262
287,7.108,2.8,6.077,5.746
288,7.912,1.771,4.977,6.057
289,0.982,9.645,5.134,5.439
290,9.64,0.354,7.094,5.79
291,1.629,8.904,7.39,6.045
292,9.428,2.217,7.863,5.441
293,0.542,4.782,5.039,3.863
294,5.595,1.899,9.048,7.012
295,2.943,6.616,1.388,0.724
296,4.956,6.123,1.653,7.899
297,4.952,6.906,9.392,2.848
298,8.029,7.5,5.371,5.348
299,1.439,5.842,3.351,7.632
300,9.975,3.155,2.775,0.501
301,6.825,9.687,3.72,2.213
302,3.101,5.188,3.266,6.629
303,3.661,9.406,4.041,3.745
304,8.782,4.728,6.677,5.663
305,4.372,6.855,6.386,2.724
306,1.225,0.704,6.942,1.296
307,6.338,0.957,6.93,8.412
308,2.832,3.697,0.237,6.026
309,3.823,8.449,4.001,3.874
310,4.674,1.831,8.943,3.771
311,5.226,4.321,7.833,2.793
312,6.531,7.774,0.669,1.778
313,1.875,2.81,1.949,4.231
314,7.071,1.343,4.362,8.528
315,4.728,1.544,5.441,4.487
316,6.57,6.855,5.625,7.747
317,0.42,4.531,7.007,8.85
318,8.873,9.94,9.845,9.004
319,1.113,3.206,4.647,8.766
320,8.452,4.962,4.54,8.081
321,3.239,0.331,5.682,3.765
322,3.48,8.049,9.432,7.957
323,7.084,5.164,5.062,9.153
324,5.188,7.128,7.021,8.897
325,2.727,0.602,1.523,9.369
326,1.671,8.204,2.024,0.125
327,1.428,9.098,0.239,7.789
328,5.313,4.196,4.502,8.217
329,0.935,3.171,4.15,1.405
330,5.865,9.824,2.102,3.532
331,5.805,9.565,3.27,1.618
332,8.519,7.219,8.051,7.366
333,3.636,9.659,1.754,2.786
334,7.466,6.025,8.402,0.266
335,7.711,6.748,2.762,5.01
336,5.542,9.026,1.928,5.778
337,2.552,7.678,6.281,7.384
338,1.555,2.94,8.532,8.331
339,9.653,8.629,6.012,0.797
340,1.396,7.282,5.117,4.018
341,1.98,1.328,2.428,1.813
342,2.36,0.694,4.778,4.274
343,5.551,4.151,2.443,9.953
344,5.451,5.119,5.146,9.466
345,0.673,0.47,3.991,3.265
346,3.233,3.891,8.241,8.052
347,9.388,9.226,6.879,4.071
348,3.353,0.976,3.104,1.121
349,0.02,1.842,5.226,3.93
350,8.965,1.139,5.833,5.078
351,6.419,8.735,0.101,5.094
352,1.558,5.063,1.496,3.59
353,7.687,8.788,1.004,3.252
354,8.135,8.135,5.21,9.423
355,2.58,1.013,9.676,4.372
356,9.02,0.555,2.935,2.137
357,6.229,7.438,6.695,3.711
358,2.571,8.722,5.909,7.971
359,2.112,3.369,1.928,3.703
